# x sin(x)
0.83650 0.74230
0.84279 0.74650
0.84908 0.75067
0.85537 0.75481
0.86166 0.75892
0.86795 0.76300
0.87424 0.76705
0.88053 0.77107
0.88682 0.77506
0.89311 0.77902
0.89939 0.78295
0.90568 0.78685
0.91197 0.79071
0.91826 0.79455
0.92455 0.79835
0.93084 0.80212
0.93713 0.80586
0.94342 0.80957
0.94971 0.81325
0.95600 0.81689
0.96229 0.82050
0.96858 0.82408
0.97487 0.82763
0.98116 0.83114
0.98745 0.83462
0.99374 0.83807
1.00003 0.84149
1.00632 0.84487
1.01261 0.84821
1.01889 0.85153
1.02518 0.85481
1.03147 0.85806
1.03776 0.86127
1.04405 0.86445
1.05034 0.86759
1.05663 0.87070
1.06292 0.87378
1.06921 0.87682
1.07550 0.87983
1.08179 0.88280
1.08808 0.88574
1.09437 0.88864
1.10066 0.89151
1.10695 0.89434
1.11324 0.89713
1.11953 0.89989
1.12582 0.90262
1.13211 0.90531
1.13839 0.90796
1.14468 0.91058
1.15097 0.91316
1.15726 0.91571
1.16355 0.91822
1.16984 0.92069
1.17613 0.92313
1.18242 0.92553
1.18871 0.92789
1.19500 0.93022
1.20129 0.93251
1.20758 0.93476
1.21387 0.93697
1.22016 0.93915
1.22645 0.94130
1.23274 0.94340
1.23903 0.94547
1.24532 0.94750
1.25161 0.94949
1.25789 0.95144
1.26418 0.95336
1.27047 0.95524
1.27676 0.95708
1.28305 0.95889
1.28934 0.96065
1.29563 0.96238
1.30192 0.96407
1.30821 0.96572
1.31450 0.96734
1.32079 0.96891
1.32708 0.97045
1.33337 0.97195
1.33966 0.97341
1.34595 0.97483
1.35224 0.97621
1.35853 0.97756
1.36482 0.97886
1.37111 0.98013
1.37739 0.98136
1.38368 0.98255
1.38997 0.98370
1.39626 0.98481
1.40255 0.98588
1.40884 0.98691
1.41513 0.98791
1.42142 0.98886
1.42771 0.98978
1.43400 0.99066
1.44029 0.99150
1.44658 0.99229
1.45287 0.99305
1.45916 0.99377
1.46545 0.99446
1.47174 0.99510
1.47803 0.99570
1.48432 0.99626
1.49061 0.99679
1.49689 0.99727
1.50318 0.99772
1.50947 0.99812
1.51576 0.99849
1.52205 0.99881
1.52834 0.99910
1.53463 0.99935
1.54092 0.99955
1.54721 0.99972
1.55350 0.99985
1.55979 0.99994
1.56608 0.99999
1.57237 1.00000
1.57866 0.99997
1.58495 0.99990
1.59124 0.99979
1.59753 0.99964
1.60382 0.99945
1.61011 0.99923
1.61640 0.99896
1.62268 0.99865
1.62897 0.99831
1.63526 0.99792
1.64155 0.99750
1.64784 0.99703
1.65413 0.99653
1.66042 0.99599
1.66671 0.99540
1.67300 0.99478
1.67929 0.99412
1.68558 0.99342
1.69187 0.99268
1.69816 0.99190
1.70445 0.99108
1.71074 0.99022
1.71703 0.98933
1.72332 0.98839
1.72961 0.98742
1.73590 0.98640
1.74218 0.98535
1.74847 0.98426
1.75476 0.98313
1.76105 0.98196
1.76734 0.98075
1.77363 0.97950
1.77992 0.97821
1.78621 0.97689
1.79250 0.97552
1.79879 0.97412
1.80508 0.97268
1.81137 0.97120
1.81766 0.96968
1.82395 0.96813
1.83024 0.96653
1.83653 0.96490
1.84282 0.96323
1.84911 0.96152
1.85540 0.95977
1.86168 0.95799
1.86797 0.95617
1.87426 0.95431
1.88055 0.95241
1.88684 0.95047
1.89313 0.94850
1.89942 0.94649
1.90571 0.94444
1.91200 0.94235
1.91829 0.94023
1.92458 0.93807
1.93087 0.93587
1.93716 0.93364
1.94345 0.93137
1.94974 0.92906
1.95603 0.92671
1.96232 0.92433
1.96861 0.92191
1.97490 0.91946
1.98118 0.91697
1.98747 0.91444
1.99376 0.91188
2.00005 0.90928
2.00634 0.90664
2.01263 0.90397
2.01892 0.90126
2.02521 0.89852
2.03150 0.89574
2.03779 0.89293
2.04408 0.89008
2.05037 0.88719
2.05666 0.88427
2.06295 0.88132
2.06924 0.87833
2.07553 0.87530
2.08182 0.87225
2.08811 0.86915
2.09440 0.86603
2.10068 0.86286
2.10697 0.85967
2.11326 0.85644
2.11955 0.85317
2.12584 0.84988
2.13213 0.84654
2.13842 0.84318
2.14471 0.83978
2.15100 0.83635
2.15729 0.83289
2.16358 0.82939
2.16987 0.82586
2.17616 0.82230
2.18245 0.81870
2.18874 0.81507
2.19503 0.81141
2.20132 0.80772
2.20761 0.80400
2.21390 0.80024
2.22018 0.79645
2.22647 0.79263
2.23276 0.78878
2.23905 0.78490
2.24534 0.78099
2.25163 0.77705
2.25792 0.77307
2.26421 0.76907
2.27050 0.76503
2.27679 0.76097
2.28308 0.75687
2.28937 0.75275
2.29566 0.74859
2.30195 0.74441
2.30824 0.74019
2.31453 0.73595
2.32082 0.73168
2.32711 0.72737
2.33340 0.72304
2.33968 0.71868
2.34597 0.71430
2.35226 0.70988
2.35855 0.70544
2.36484 0.70097
2.37113 0.69647
2.37742 0.69194
2.38371 0.68738
2.39000 0.68280
2.39629 0.67819
2.40258 0.67356
2.40887 0.66890
2.41516 0.66421
2.42145 0.65949
2.42774 0.65475
2.43403 0.64999
2.44032 0.64519
2.44661 0.64038
2.45290 0.63553
2.45918 0.63066
2.46547 0.62577
2.47176 0.62085
2.47805 0.61591
2.48434 0.61094
2.49063 0.60595
2.49692 0.60094
2.50321 0.59590
2.50950 0.59083
2.51579 0.58575
2.52208 0.58064
2.52837 0.57551
2.53466 0.57035
2.54095 0.56517
2.54724 0.55997
2.55353 0.55475
2.55982 0.54951
2.56611 0.54424
2.57240 0.53896
2.57868 0.53365
2.58497 0.52832
2.59126 0.52297
2.59755 0.51760
2.60384 0.51220
2.61013 0.50679
2.61642 0.50136
2.62271 0.49591
2.62900 0.49044
2.63529 0.48495
2.64158 0.47944
2.64787 0.47391
2.65416 0.46836
2.66045 0.46279
2.66674 0.45721
2.67303 0.45161
2.67932 0.44599
2.68561 0.44035
2.69190 0.43469
2.69818 0.42902
2.70447 0.42333
2.71076 0.41762
2.71705 0.41190
2.72334 0.40616
2.72963 0.40041
2.73592 0.39464
2.74221 0.38885
2.74850 0.38305
2.75479 0.37723
2.76108 0.37140
2.76737 0.36555
2.77366 0.35969
2.77995 0.35381
2.78624 0.34792
2.79253 0.34202
2.79882 0.33610
2.80511 0.33017
2.81140 0.32423
2.81768 0.31827
2.82397 0.31231
2.83026 0.30632
2.83655 0.30033
2.84284 0.29433
2.84913 0.28831
2.85542 0.28228
2.86171 0.27624
2.86800 0.27019
2.87429 0.26413
2.88058 0.25806
2.88687 0.25198
2.89316 0.24589
2.89945 0.23979
2.90574 0.23367
2.91203 0.22755
2.91832 0.22143
2.92461 0.21529
2.93090 0.20914
2.93718 0.20299
2.94347 0.19682
2.94976 0.19065
2.95605 0.18448
2.96234 0.17829
2.96863 0.17210
2.97492 0.16590
2.98121 0.15969
2.98750 0.15348
2.99379 0.14727
3.00008 0.14104
3.00637 0.13481
3.01266 0.12858
3.01895 0.12234
3.02524 0.11609
3.03153 0.10984
3.03782 0.10359
3.04411 0.09733
3.05040 0.09107
3.05668 0.08481
3.06297 0.07854
3.06926 0.07227
3.07555 0.06599
3.08184 0.05971
3.08813 0.05344
3.09442 0.04715
3.10071 0.04087
3.10700 0.03459
3.11329 0.02830
3.11958 0.02201
3.12587 0.01572
3.13216 0.00943
3.13845 0.00314
3.14474 -0.00314
3.15103 -0.00943
3.15732 -0.01572
3.16361 -0.02201
3.16990 -0.02830
3.17618 -0.03459
3.18247 -0.04087
3.18876 -0.04715
3.19505 -0.05344
3.20134 -0.05971
3.20763 -0.06599
3.21392 -0.07227
3.22021 -0.07854
3.22650 -0.08481
3.23279 -0.09107
3.23908 -0.09733
3.24537 -0.10359
3.25166 -0.10984
3.25795 -0.11609
3.26424 -0.12234
3.27053 -0.12858
3.27682 -0.13481
3.28311 -0.14104
3.28940 -0.14727
3.29568 -0.15348
3.30197 -0.15969
3.30826 -0.16590
3.31455 -0.17210
3.32084 -0.17829
3.32713 -0.18448
3.33342 -0.19065
3.33971 -0.19682
3.34600 -0.20299
3.35229 -0.20914
3.35858 -0.21529
3.36487 -0.22143
3.37116 -0.22755
3.37745 -0.23367
3.38374 -0.23979
3.39003 -0.24589
3.39632 -0.25198
3.40261 -0.25806
3.40890 -0.26413
3.41518 -0.27019
3.42147 -0.27624
3.42776 -0.28228
3.43405 -0.28831
3.44034 -0.29433
3.44663 -0.30033
3.45292 -0.30632
3.45921 -0.31231
3.46550 -0.31827
3.47179 -0.32423
3.47808 -0.33017
3.48437 -0.33610
3.49066 -0.34202
3.49695 -0.34792
3.50324 -0.35381
3.50953 -0.35969
3.51582 -0.36555
3.52211 -0.37140
3.52840 -0.37723
3.53468 -0.38305
3.54097 -0.38885
3.54726 -0.39464
3.55355 -0.40041
3.55984 -0.40616
3.56613 -0.41190
3.57242 -0.41762
3.57871 -0.42333
3.58500 -0.42902
3.59129 -0.43469
3.59758 -0.44035
3.60387 -0.44599
3.61016 -0.45161
3.61645 -0.45721
3.62274 -0.46279
3.62903 -0.46836
3.63532 -0.47391
3.64161 -0.47944
3.64790 -0.48495
3.65418 -0.49044
3.66047 -0.49591
3.66676 -0.50136
3.67305 -0.50679
3.67934 -0.51220
3.68563 -0.51760
3.69192 -0.52297
3.69821 -0.52832
3.70450 -0.53365
3.71079 -0.53896
3.71708 -0.54424
3.72337 -0.54951
3.72966 -0.55475
3.73595 -0.55997
3.74224 -0.56517
3.74853 -0.57035
3.75482 -0.57551
3.76111 -0.58064
3.76740 -0.58575
3.77368 -0.59083
3.77997 -0.59590
3.78626 -0.60094
3.79255 -0.60595
3.79884 -0.61094
3.80513 -0.61591
3.81142 -0.62085
3.81771 -0.62577
3.82400 -0.63066
3.83029 -0.63553
3.83658 -0.64038
3.84287 -0.64519
3.84916 -0.64999
3.85545 -0.65475
3.86174 -0.65949
3.86803 -0.66421
3.87432 -0.66890
3.88061 -0.67356
3.88690 -0.67819
3.89318 -0.68280
3.89947 -0.68738
3.90576 -0.69194
3.91205 -0.69647
3.91834 -0.70097
3.92463 -0.70544
3.93092 -0.70988
3.93721 -0.71430
3.94350 -0.71868
3.94979 -0.72304
3.95608 -0.72737
3.96237 -0.73168
3.96866 -0.73595
3.97495 -0.74019
3.98124 -0.74441
3.98753 -0.74859
3.99382 -0.75275
4.00011 -0.75687
4.00640 -0.76097
4.01268 -0.76503
4.01897 -0.76907
4.02526 -0.77307
4.03155 -0.77705
4.03784 -0.78099
4.04413 -0.78490
4.05042 -0.78878
4.05671 -0.79263
4.06300 -0.79645
4.06929 -0.80024
4.07558 -0.80400
4.08187 -0.80772
4.08816 -0.81141
4.09445 -0.81507
4.10074 -0.81870
4.10703 -0.82230
4.11332 -0.82586
4.11961 -0.82939
4.12590 -0.83289
4.13218 -0.83635
4.13847 -0.83978
4.14476 -0.84318
4.15105 -0.84654
4.15734 -0.84988
4.16363 -0.85317
4.16992 -0.85644
4.17621 -0.85967
4.18250 -0.86286
4.18879 -0.86603
4.19508 -0.86915
4.20137 -0.87225
4.20766 -0.87530
4.21395 -0.87833
4.22024 -0.88132
4.22653 -0.88427
4.23282 -0.88719
4.23911 -0.89008
4.24540 -0.89293
4.25168 -0.89574
4.25797 -0.89852
4.26426 -0.90126
4.27055 -0.90397
4.27684 -0.90664
4.28313 -0.90928
4.28942 -0.91188
4.29571 -0.91444
4.30200 -0.91697
4.30829 -0.91946
4.31458 -0.92191
4.32087 -0.92433
4.32716 -0.92671
4.33345 -0.92906
4.33974 -0.93137
4.34603 -0.93364
4.35232 -0.93587
4.35861 -0.93807
4.36490 -0.94023
4.37118 -0.94235
4.37747 -0.94444
4.38376 -0.94649
4.39005 -0.94850
4.39634 -0.95047
4.40263 -0.95241
4.40892 -0.95431
4.41521 -0.95617
4.42150 -0.95799
4.42779 -0.95977
4.43408 -0.96152
4.44037 -0.96323
4.44666 -0.96490
4.45295 -0.96653
4.45924 -0.96813
4.46553 -0.96968
4.47182 -0.97120
4.47811 -0.97268
4.48440 -0.97412
4.49068 -0.97552
4.49697 -0.97689
4.50326 -0.97821
4.50955 -0.97950
4.51584 -0.98075
4.52213 -0.98196
4.52842 -0.98313
4.53471 -0.98426
4.54100 -0.98535
4.54729 -0.98640
4.55358 -0.98742
4.55987 -0.98839
4.56616 -0.98933
4.57245 -0.99022
4.57874 -0.99108
4.58503 -0.99190
4.59132 -0.99268
4.59761 -0.99342
4.60390 -0.99412
4.61019 -0.99478
4.61647 -0.99540
4.62276 -0.99599
4.62905 -0.99653
4.63534 -0.99703
4.64163 -0.99750
4.64792 -0.99792
4.65421 -0.99831
4.66050 -0.99865
4.66679 -0.99896
4.67308 -0.99923
4.67937 -0.99945
4.68566 -0.99964
4.69195 -0.99979
4.69824 -0.99990
4.70453 -0.99997
4.71082 -1.00000
4.71711 -0.99999
4.72340 -0.99994
4.72969 -0.99985
4.73597 -0.99972
4.74226 -0.99955
4.74855 -0.99935
4.75484 -0.99910
4.76113 -0.99881
4.76742 -0.99849
4.77371 -0.99812
4.78000 -0.99772
4.78629 -0.99727
4.79258 -0.99679
4.79887 -0.99626
4.80516 -0.99570
4.81145 -0.99510
4.81774 -0.99446
4.82403 -0.99377
4.83032 -0.99305
4.83661 -0.99229
4.84290 -0.99150
4.84919 -0.99066
4.85547 -0.98978
4.86176 -0.98886
4.86805 -0.98791
4.87434 -0.98691
4.88063 -0.98588
4.88692 -0.98481
4.89321 -0.98370
4.89950 -0.98255
4.90579 -0.98136
4.91208 -0.98013
4.91837 -0.97886
4.92466 -0.97756
4.93095 -0.97621
4.93724 -0.97483
4.94353 -0.97341
4.94982 -0.97195
4.95611 -0.97045
4.96240 -0.96891
4.96869 -0.96734
4.97497 -0.96572
4.98126 -0.96407
4.98755 -0.96238
4.99384 -0.96065
5.00013 -0.95889
5.00642 -0.95708
5.01271 -0.95524
5.01900 -0.95336
5.02529 -0.95144
5.03158 -0.94949
5.03787 -0.94750
5.04416 -0.94547
5.05045 -0.94340
5.05674 -0.94130
5.06303 -0.93915
5.06932 -0.93697
5.07561 -0.93476
5.08190 -0.93251
5.08819 -0.93022
5.09447 -0.92789
5.10076 -0.92553
5.10705 -0.92313
5.11334 -0.92069
5.11963 -0.91822
5.12592 -0.91571
5.13221 -0.91316
5.13850 -0.91058
5.14479 -0.90796
5.15108 -0.90531
5.15737 -0.90262
5.16366 -0.89989
5.16995 -0.89713
5.17624 -0.89434
5.18253 -0.89151
5.18882 -0.88864
5.19511 -0.88574
5.20140 -0.88280
5.20769 -0.87983
5.21397 -0.87682
5.22026 -0.87378
5.22655 -0.87070
5.23284 -0.86759
5.23913 -0.86445
5.24542 -0.86127
5.25171 -0.85806
5.25800 -0.85481
5.26429 -0.85153
5.27058 -0.84821
5.27687 -0.84487
5.28316 -0.84149
5.28945 -0.83807
5.29574 -0.83462
5.30203 -0.83114
5.30832 -0.82763
5.31461 -0.82408
5.32090 -0.82050
5.32719 -0.81689
5.33347 -0.81325
5.33976 -0.80957
5.34605 -0.80586
5.35234 -0.80212
5.35863 -0.79835
5.36492 -0.79455
5.37121 -0.79071
5.37750 -0.78685
5.38379 -0.78295
5.39008 -0.77902
5.39637 -0.77506
5.40266 -0.77107
5.40895 -0.76705
5.41524 -0.76300
5.42153 -0.75892
5.42782 -0.75481
5.43411 -0.75067
5.44040 -0.74650
5.44669 -0.74230
5.45297 -0.73807
5.45926 -0.73382
5.46555 -0.72953
5.47184 -0.72521
5.47813 -0.72087
5.48442 -0.71649
5.49071 -0.71209
5.49700 -0.70766
5.50329 -0.70320
5.50958 -0.69872
5.51587 -0.69421
5.52216 -0.68967
5.52845 -0.68510
5.53474 -0.68050
5.54103 -0.67588
5.54732 -0.67123
5.55361 -0.66656
5.55990 -0.66185
5.56619 -0.65713
5.57247 -0.65237
5.57876 -0.64759
5.58505 -0.64279
5.59134 -0.63796
5.59763 -0.63310
5.60392 -0.62822
5.61021 -0.62331
5.61650 -0.61838
5.62279 -0.61343
5.62908 -0.60845
5.63537 -0.60345
5.64166 -0.59842
5.64795 -0.59337
5.65424 -0.58829
5.66053 -0.58320
5.66682 -0.57808
5.67311 -0.57293
5.67940 -0.56777
5.68569 -0.56258
5.69197 -0.55737
5.69826 -0.55213
5.70455 -0.54688
5.71084 -0.54160
5.71713 -0.53630
5.72342 -0.53099
5.72971 -0.52565
5.73600 -0.52028
5.74229 -0.51490
5.74858 -0.50950
5.75487 -0.50408
5.76116 -0.49864
5.76745 -0.49318
5.77374 -0.48769
5.78003 -0.48219
5.78632 -0.47668
5.79261 -0.47114
5.79890 -0.46558
5.80519 -0.46000
5.81147 -0.45441
5.81776 -0.44880
5.82405 -0.44317
5.83034 -0.43752
5.83663 -0.43186
5.84292 -0.42618
5.84921 -0.42048
5.85550 -0.41476
5.86179 -0.40903
5.86808 -0.40329
5.87437 -0.39752
5.88066 -0.39174
5.88695 -0.38595
5.89324 -0.38014
5.89953 -0.37431
5.90582 -0.36848
5.91211 -0.36262
5.91840 -0.35675
5.92469 -0.35087
5.93097 -0.34497
5.93726 -0.33906
5.94355 -0.33314
5.94984 -0.32720
5.95613 -0.32125
5.96242 -0.31529
5.96871 -0.30932
5.97500 -0.30333
5.98129 -0.29733
5.98758 -0.29132
5.99387 -0.28530
6.00016 -0.27926
6.00645 -0.27322
6.01274 -0.26716
6.01903 -0.26110
6.02532 -0.25502
6.03161 -0.24893
6.03790 -0.24284
6.04419 -0.23673
6.05047 -0.23062
6.05676 -0.22449
6.06305 -0.21836
6.06934 -0.21222
6.07563 -0.20607
6.08192 -0.19991
6.08821 -0.19374
6.09450 -0.18757
6.10079 -0.18139
6.10708 -0.17520
6.11337 -0.16900
6.11966 -0.16280
6.12595 -0.15659
6.13224 -0.15037
6.13853 -0.14415
6.14482 -0.13793
6.15111 -0.13170
6.15740 -0.12546
6.16369 -0.11922
6.16997 -0.11297
6.17626 -0.10672
6.18255 -0.10046
6.18884 -0.09420
6.19513 -0.08794
6.20142 -0.08167
6.20771 -0.07540
6.21400 -0.06913
6.22029 -0.06285
6.22658 -0.05658
6.23287 -0.05029
6.23916 -0.04401
6.24545 -0.03773
6.25174 -0.03144
6.25803 -0.02516
6.26432 -0.01887
6.27061 -0.01258
6.27690 -0.00629
6.28319 -0.00000
